gname,nkill
Syrian Turkmen Brigades,1.0
Leftist youths,1.0
Croatians,1.0
Shanni Nationalities Army (SNA),1.0
Gunib Group,1.0
Combat Brigades,1.0
Red Flying Squad,1.0
Black Lebanon,1.0
Palestinian Activists,1.0
Revenge Brigade,1.0
Armenian Revolutionary Army,1.0
Palestinian-nationalist Lebanese joint movement,1.0
Republican People's Party,1.0
Black American Moslems,1.0
Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh,1.0
Black Afro Militant Movement,1.0
Partido Marxista-Leninista ng Pilipinas (PMLP),1.0
Armenian paramilitary group,1.0
Party of National Conciliation,1.0
Patria Grande Ejercito del Pueblo,1.0
Patria Nueva (New Country),1.0
Bini-Oru,1.0
Bihar People's  Party (Hindu militants),1.0
Bersatu,1.0
Orly Organization,1.0
Organized Comrads for Communism,1.0
Organization of Volunteers for the Puerto Rican Revolution,1.0
Revolutionary Eelam Organization (EROS),1.0
Armed Proletarian Power,1.0
Nobles of Jordan,1.0
Revolutionary Nuclei,1.0
Revolutionary Movement of People in Arms,1.0
Odua Peoples' Congress (OPC),1.0
Oglaigh na hEireann,1.0
Ohabi Islamic Sect,1.0
Revolutionary Committee of Mozambique (COREMO),1.0
Black Tigers,1.0
Bodo People's Front (BPF),1.0
Blue Archer Group,1.0
Opposition movement of Colon Province Unemployed,1.0
Armed Struggle Organization,1.0
Revolutionary Cells,1.0
Organization of Mauritanian Nationalists,1.0
Organization of Mujahadin of Islam,1.0
Peasant protesters,1.0
Red Flag,1.0
Movement for Rebuilding Fatah,1.0
Beja Congress,1.0
Qari Kamran Group,1.0
Polish Skinheads,1.0
Punitive Leftist Front,1.0
Popular Army Vanguards- Battalions of Return,1.0
Popular Army for the Restoration of Democracy (APRD),1.0
Popular Front for Justice in the Congo,1.0
Baloch Mussalah Diffah Tanzim (BMDT),1.0
Puerto Rican Armed Resistance,1.0
Popular Front of India (PFI),1.0
Autonomous Anti-Capitalist Commandos (CAA),1.0
Proletariat Self-defense Groups,1.0
Ba'adi (on my own behalf),1.0
Popular Resistance Brigade,1.0
Proletarian Patrols,1.0
Ayesha bint al-Sadiq Brigade,1.0
Praveen Dalam,1.0
Pro-Libyan,1.0
Peoples' United Revolutionary Movement (HBDH),1.0
Basque Country Autonomous Self-Defense Group,1.0
People's Revolutionary Organization,1.0
People's Liberation Army (Northern Ireland),1.0
Red Commandos,1.0
People's Army (Nicaragua),1.0
People's Defense Unit (Turkey),1.0
Red Army for the Liberation of Catalonia,1.0
Bedouin tribesmen,1.0
Ashab al-Kahf,1.0
People's Liberation Army (Mexico),1.0
Rebellious Group Lambros Foundas,1.0
Raskamboni Movement,1.0
Bedouin Israeli extremists,1.0
Baya Tribe,1.0
Basque guerrillas,1.0
Raul Sendic International Brigade,1.0
People's Path,1.0
Rastriya Janashakti Party (RJP),1.0
People's Revolutionary Army (ERP),1.0
Boz-Ok (Grey Arrow),1.0
Revolutionary Proletarian Army,1.0
Revolutionary Road,1.0
Revolutionary Solidarity,1.0
April 6th Liberation Movement,1.0
Chilean Anti-Communist Alliance (ACHA),1.0
Naga National Council (NNC),1.0
Naga extremists,1.0
Arab Communist Organization,1.0
Arab Liberation Army,1.0
Saraya al-Mukhtar,1.0
National Alliance (Chad),1.0
National Army for the Liberation of Uganda (NALU),1.0
National Awami Party,1.0
Arab Socialist Baath Party,1.0
National Committee for the Restoration of Democracy and State (CNRDR),1.0
National Committee to Combat Fascism,1.0
Arab Unionist Nationalist Organization,1.0
Sandinist People's Army (EPS),1.0
Arabian Peninsula Freemen,1.0
Arakan Liberation Party (ALP),1.0
Muslims Against Global Oppression (MAGO),1.0
Chinese Mafia,1.0
Muslim Youth,1.0
Civilians Seeking Revenge,1.0
Movement for Self-Determination,1.0
Anti-Socials,1.0
Sham 'unite,1.0
Movement of Islamic Action of Iraq,1.0
Movement of the Third Reich,1.0
Serbian rebels,1.0
Anti-Terrorism ETA (ATE),1.0
Civilian Defense,1.0
Muslim Renewal,1.0
Civil War Veterans,1.0
Extreme Right-wing Socialist Phalange,1.0
Separatist Clandestine Organization,1.0
Separatist Arab Guerrillas,1.0
Civic Guard,1.0
Anti-globalization extremists,1.0
Muslim Liberation Front,1.0
National Freedom Party,1.0
Argentine Liberation Front (FAL),1.0
National Front for the Liberation of Belgium,1.0
New Patriotic Party (NPP),1.0
Right-wing Terrorists,1.0
Nepalbad Party,1.0
Nestor Paz Zamora Commission (CNPZ),1.0
Armed Group for the Liberation of Guadeloupe (GLAG),1.0
New Indigenous People's Army,1.0
Armed Groups of Organised Proletariat,1.0
Right Wing Christian extremists,1.0
Armed Nucleus for Popular Autonomy,1.0
Rival Bangledesh Chhatra League Faction,1.0
Rhodesian guerillas,1.0
New Ugandan Army,1.0
New World Liberation Front (NWLF),1.0
New Year's Gang,1.0
Nicaraguan Counter Revolutionaries (group unk),1.0
Revolutionary Student Front,1.0
Revolutionary Struggle,1.0
Burmese refugees,1.0
Rival Party Members,1.0
Salafi Daawa Group,1.0
Caspian Group,1.0
Arm na Poblachta' (Army of the Republic),1.0
Armata di Liberazione Naziunale (ALN),1.0
Armed Action Force (FADA),1.0
Catholic E. Timurese,1.0
National Liberation Movement Party,1.0
Russian separatists,1.0
National Movement Against the Mahgreb Invasion,1.0
Casamance Separatists,1.0
National Socialist Council of Nagaland-Unification (NSCN-U),1.0
Room of the Neighbourhoods Youths,1.0
National Salvation Forces Organization,1.0
Caribbean Revolutionary Alliance (ARC),1.0
Cambodian National Front for National Salvation,1.0
Cambodian Gunmen,1.0
Rizvon Sadirov Group,1.0
National Socialist Council of Nagaland-Reformation (NSCN-R),1.0
Just Punishment Brigades,1.0
Manatari Brotherhood,1.0
Imbonerakure militia,1.0
Islamic Movement of Iraqi Mujahidin,1.0
Waltraud Boock Group,1.0
20 December Movement (M-20),1.0
Forum for the Restoration of Democracy-Kenya,1.0
Unified Communist Party of Nepal (Maoist),1.0
International Justice Group (Gama'a al-Adela al-Alamiya),1.0
23 May Democratic Alliance (Algeria),1.0
Al-Amaliqah Brigades,1.0
"Weather Underground, Weathermen",1.0
Hawaiian extremists,1.0
Islamic Movement of Kashmir,1.0
Islamic Movement of Martyrs,1.0
Youths of Ali Movement,1.0
Wild Cats,1.0
Al-Jehad,1.0
Islamic Movement Organization,1.0
Wahhabi Movement,1.0
Jewish Fighting Organization (Eyal),1.0
Afridi Tribe,1.0
Wolves of Islam,1.0
Turks,1.0
Harakat-i-Inqilahi-i-Islami,1.0
French National,1.0
Worldwide Organization of Native Taiwanese,1.0
Turkish Revenge Brigade,1.0
Achwan-I-Mushbani,1.0
Izberbash Gang,1.0
Farmer's Movement of the Philippines (KMP),1.0
Zemun Clan,1.0
Huria Kristen Batak Protestan (HKBP),1.0
Guadalcanal Liberation Front (GLF),1.0
Turkish Islamic Jihad,1.0
Jamaat-al-Fuqra,1.0
International Anti-Communist Intelligence Service,1.0
Achik Songna An'pachakgipa Kotok (ASAK),1.0
Afar rebels,1.0
Generation Identity,1.0
United Kuki Liberation Front (UKLF) - India,1.0
Indigenous People's Front of Tripura (IPFT),1.0
Hiroyuki Jo,1.0
Francisco Villa People's Front,1.0
George Jackson Brigade,1.0
Generation of Arab Fury,1.0
Islamist Sufi Group,1.0
Fighters for the Liberation of the Turkish People,1.0
White Guard,1.0
Greek Bulgarian Armenian Front,1.0
Greek National Socialist Organization,1.0
United Janatantrik Terai Mukti Morcha (U-JTMM),1.0
Al-Fajr,1.0
Al-Borkan Liberation Organization,1.0
Young Cuba,1.0
Georgian extremists,1.0
Grey Wolves,1.0
Janatantrik Tiger Janashakti Party,1.0
Abu Bakr Unis Jabr Brigade,1.0
Greater Damascus Operations Room,1.0
January 22,1.0
Hill Tiger Force (HTF),1.0
Japanese Independence Patriotic Party,1.0
Hofstad Network,1.0
Insurgency Commune,1.0
Uganda Federal Democratic Alliance (UFEDA),1.0
Independent Peasants Union,1.0
Honour of the Police,1.0
Islamic Revenge Organization,1.0
Uganda Federal Army,1.0
Guadeloupe Liberation Army,1.0
Al-Faran,1.0
Government Supporters,1.0
Islamic Fateh,1.0
Jordanian extremists,1.0
Islamic Defenders' Front (FPI),1.0
Iranian Revolution Organization,1.0
Iranian dissident group,1.0
Vigorous Burmese Student Warriors,1.0
Zionist Resistance Fighters,1.0
Al-Sawaiq Brigade,1.0
United Tribal Liberation Army (UTLA),1.0
GN-95,1.0
Al-Sham Legion,1.0
Working People's Alliance (WPA),1.0
Al-Sunni muslim sect,1.0
Aceh Singkil Islamic Care Youth Students Association (PPI),1.0
Zulu Miners,1.0
Iraqi Islamic Vanguards for National Salvation (IIVNS),1.0
Ahmad Luebaesa Group,1.0
Union of the People (UDP),1.0
Front for the Liberation of the French Somali Coast,1.0
Iberian Liberation Movement (MIL),1.0
Abdul Ghani Kikli Militia,1.0
Vengence Party,1.0
Workers' Revolutionary Party,1.0
Jaime Bateman Cayon Group (JBC),1.0
Jaish al-Muhajireen wal-Ansar (Muhajireen Army),1.0
Workers Brigade for Communism,1.0
Jund al-Khilafa,1.0
Idealist Association,1.0
Vanguards of the Caliphate,1.0
Fuerza Nueva,1.0
Al-Sa'iqa,1.0
Front de Liberation du Quebec (FLQ),1.0
Guatemalan hired assasins,1.0
Achik National Liberation Army (ANLA),1.0
Aitarak Militia,1.0
Gorkha Liberation Army (GLA),1.0
Zetas,1.0
Al-Qaqa Brigade,1.0
16 January Organization for the Liberation of Tripoli,1.0
Former Soldiers/Police,1.0
19th of July Christian Resistance Brigade,1.0
Jaish al-Umar (JaU),1.0
Gaitanista Self-Defense Forces of Colombia (AGC),1.0
ATALA,1.0
"Worker Autonomy, Continuous Struggle",0.0
White Panther Party,0.0
Worker Counterpower,0.0
Armed Proletariat Fighting Squad,0.0
Armed Proletarian Squads,0.0
Armed Revolutionary Independence Movement (MIRA),0.0
Revolutionary Movement,0.0
Armed Nuclei for Communism,0.0
White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia,0.0
Armed Revolutionary Left (IRA),0.0
Armed Radical Groups for Communism,0.0
Armed Squads for Communism,0.0
Revolutionary Front for National Liberation,0.0
Revolutionary Nationalist Movement,0.0
Abdul Qader Husseini Battalions of the Free Palestine movement,0.0
White Liberation Army,0.0
Revolutionary Front,0.0
Revolutionary Forces for the Liberation of Iraq,0.0
Revolutionary Force Seven,0.0
Revolutionary Force 9,0.0
Armed Groups for Communism,0.0
Worker's Brigade,0.0
White Legion (Ecuador),0.0
Workers Power,0.0
Armed Revolutionary Action (ENEDRA),0.0
Revolutionary Force 26,0.0
Rezi Rezai International Brigades,0.0
Abstentionist Brigades,0.0
Revolutionary Insurgent Armed Forces of Ecuador (FAIRE),0.0
Revolutionary Vanguard,0.0
Armed Proletarian Groups for Communism,0.0
Wild Individualities,0.0
Wild Geese of the Cities,0.0
Wit Kommando,0.0
Revolutionary Militant Left organization,0.0
Armed Proletarian Patrols,0.0
Revolutionary Student Brigade,0.0
Armed Revolutionary Forces,0.0
Wild Freedom,0.0
Armed Proletarian Group,0.0
Revolutionary Proletarian Initiative Nuclei (NIPR),0.0
Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece,0.0
Revolutionary Popular Left,0.0
Revolutionary United Front Movement,0.0
Revolutionary Violence Units,0.0
Right-Wing Gunmen,0.0
Revolutionary Voice of the People (VPR),0.0
Armed Proletarian Formations,0.0
Revolutionary Perspective,0.0
Revolutionary Leninist Brigades,0.0
Armed People's Units,0.0
Armed Revolutionary Groups,0.0
Revolutionary Peoples Army,0.0
Revolutionary Workers Party of Bolivia (PRTB),0.0
Armed Nucleus of Communist Workers,0.0
Abida Tribe,0.0
Revolutionary Labor Organization,0.0
Revolutionary Labor Commandos,0.0
Revolutionary Internationalist Solidarity,0.0
Revolutionary Military Council,0.0
Albanian exiles,0.0
Abu Jaafar al-Mansur Brigades,0.0
Western Togoland Restoration Front (WTRF),0.0
Argentine Youths for Sovereignty,0.0
Arab Youth Group (Militant),0.0
Samyukta Terai Madhes Mukti Party,0.0
Arauco Malleco Coordinating Group (CAM) - Chile,0.0
Argentina Libre (Free Argentina),0.0
Village League,0.0
Sammilito Sangskritik Jote (Alliance of Cultural Forums),0.0
Abu Salim Martyr's Brigade,0.0
Vincente Mecha Revolutionary Christians,0.0
Salah al-Din Squad,0.0
Argentine National Organization Movement (MANO),0.0
Salafi Extremists,0.0
Arab Socialist Union Members,0.0
Abu Obaida bin Jarrah Brigade,0.0
Ariska Brodraskapet (Aryan Brotherhood),0.0
Saif-ul-Muslimeen,0.0
Viviana Gallardo Command,0.0
Armata Corsa,0.0
Volunteers of Innocent People of Nagas (VIPN),0.0
Vulkangruppe NetzHerrschaft zerreissen,0.0
Armed Affinities in Revolt,0.0
Sabaot Tribe,0.0
Armed Anti-Imperialist Movement,0.0
Sandinista Protester,0.0
Sandval (union) Movement,0.0
Armed Commandos for Liberation,0.0
Venezuelan Patriotic Front,0.0
Vanguard of Red Youth (AKM),0.0
Vanuatu Mobile Force (VMF),0.0
Aqmur,0.0
Sawaid Al-Khayr,0.0
Save Uganda Movement,0.0
Venceremos,0.0
Save Our Israel Land,0.0
Achik Matgrik Army (AMA),0.0
Savane Pistache gang,0.0
Arab Democratic Party,0.0
Sardinian Autonomy Movement,0.0
Sanghiya Limbuwan Committee (SLC),0.0
Arab Revenge Organization,0.0
Veterans United for Non-Religious Memorials,0.0
Vetevendosje,0.0
Arab Revolutionary Army,0.0
Arab Revolutionary Front,0.0
Vietnamese,0.0
Saraya Thorat Aleshreen,0.0
Vietnamese Detainees,0.0
Sanidila Secessionist Movement,0.0
Vietnamese Refugees,0.0
Armed Brigades,0.0
SKIF Detachment,0.0
Right-Wing Militants,0.0
Rival Soccer Clubs,0.0
Weichan Auka Mapu,0.0
Welsh Extremists,0.0
Welsh nationalists,0.0
Workers' Forces of Liberation,0.0
Armed Falange,0.0
West Nile Bank Front (WNBF),0.0
Armed Fight for Communism,0.0
Armed Fight for Workers Power,0.0
Armed Fighting Nucleus For Communism,0.0
"Rival Zulu Group, name not stated",0.0
West Side Boys,0.0
Robin Food,0.0
Armed Forces for a Federal Republic (FARF),0.0
Armed Forces of National Liberation- Venezuela (FALN),0.0
Armed Forces of Popular Resistance (FARP),0.0
Rightist supporters of Democratic Alliance,0.0
Western Somalia Liberation Front,0.0
Armed Gold Miners,0.0
Right-Wing Youths,0.0
Right-Wing Rebel Military Group,0.0
Armed Group for the Defence of the People,0.0
Right-Wing National Youth Front,0.0
Roberto Santucho Revolutionary Group,0.0
Abu Musa Group,0.0
SFT,0.0
War Veterans,0.0
Vyborg Brigade,0.0
SERB Group (Russian Liberation Movement),0.0
S14,0.0
Armed Commandos in the Fighting Army of Mario Zichieri,0.0
Armed Commandos of Student Self Defense,0.0
Wa'ed al-Tahrir,0.0
Armed Communist Commando,0.0
Russian Unity,0.0
Wampis extremists,0.0
Russian Militia,0.0
Armed Communist Formations,0.0
Robin Garcia Student Front,0.0
Ruminahui Front,0.0
Rugovasit Group,0.0
Rubicon (Rouvikonas),0.0
Rote Zora,0.0
Roque Dalton Commando,0.0
We Who Built Sweden,0.0
Armed Communist Front,0.0
Armed Communist Nucleus,0.0
Armed Communist Struggle,0.0
Rodolfo Walsh National Command,0.0
Workers of the Company,0.0
Armed Struggle for Communism,0.0
Revolutionary Force,0.0
Rabbi Rahane Group,0.0
Ramiro Ledesma Social Centre,0.0
Rally of Democratic Forces (RAFD),0.0
Rajput extremists,0.0
Rajneeshees,0.0
Asylum Seekers,0.0
Athens and Thessaloniki Arsonist Nuclei,0.0
Attaches,0.0
Radicals,0.0
Radical Communist Armed Nucleus,0.0
Rabid Brothers of Giuliani,0.0
Rabha National Security Force,0.0
Rab'Allah,0.0
Autonomous Anarchist Groups,0.0
RYF,0.0
RVA,0.0
ROSADO-SOTO Command,0.0
RIF Popular Front,0.0
RADA Special Deterrence Forces,0.0
Quit Kashmir Movement (QKM),0.0
Attack Teams for the Dissolution of the Nation (Greece),0.0
Quebec Separatists,0.0
Quartermoon Society,0.0
2 April Group,0.0
Authenticity and Development Front,0.0
Ramzi Nahra Martyr Organization,0.0
Zehri Youth Force (ZYF),0.0
Association of Students and Pupils in Mali (AEEM),0.0
Random Anarchists,0.0
Aryan Nation,0.0
Aryan Republican Army,0.0
4 August National Organization,0.0
Rebels backing deposed Pres. Zviad Gamsakhurdia,0.0
Youth for Revolution,0.0
Youth of Islamic Awakening,0.0
313 Brigade (Syria),0.0
Youth of the Star,0.0
Youths,0.0
Rebel Socialists,0.0
31 January People's Front (FP-31),0.0
Ashuar Tribe,0.0
Association Totalement Anti-Guerre (ATAG),0.0
Real Ulster Freedom Fighters (UFF) - Northern Ireland,0.0
28th of December Group,0.0
Association for the Enhancement of the Justice of the Great Japan,0.0
28s,0.0
28 February Armed Group,0.0
"Raul Ernesto Cruz Leon, Salvadorian",0.0
Association of Demobilized Armed Forces,0.0
22 May 1948,0.0
Zawiya Martyrs Brigade,0.0
Association of Mobil Spill Affected Communities (AMSAC),0.0
Puratchi Puligal,0.0
Zero Point,0.0
Youth Gang,0.0
Pro-choice extremists,0.0
Proletarian Fighting Patrol,0.0
Proletarian Fighting Brigades,0.0
Proletarian Division for the Army of Communist Liberation,0.0
Zuwar al-Imam Rida,0.0
Proletarian Combatants for Communism,0.0
Proletarian Assault Group,0.0
Proletarian Armed Squads,0.0
Proletarian Action Group,0.0
Autonomous Groups,0.0
Autonomous Intervention Collective Against the Zionist Presence in France,0.0
Pro-migration extremists,0.0
Pro-Trump extremists,0.0
Pumba and Tata Cartel,0.0
Pro-State Militiamen,0.0
Autonomous Manuel Rodriguez Patriotic Front,0.0
Pro-Palestinian extremists,0.0
Pro-Palestinian Immigrants,0.0
Zviadists,0.0
Pro-Pakistani extremists,0.0
14th of December Command,0.0
Pro-LGBT Rights extremists,0.0
Pro-Khasbulaton Rebels,0.0
Pro-Kabul Provocateurs,0.0
Pro-Iraqi Terrorists,0.0
Proletarian Initiative and Offensive for W. Europe,0.0
Proletarian Nuclei for Communism,0.0
Proletarian Nucleus,0.0
15th of September Liberation Legion,0.0
Puka Inti Maoist Communist Party,0.0
Puerto Rican Revolutionary Movement,0.0
Zero Tolerance,0.0
Puerto Rican Resistance Movement,0.0
Puerto Rican Nationalists,0.0
1st of May Group,0.0
Puerto Rican Liberation Front,0.0
Zimbabwe Guerrillas,0.0
Provisional RSPCA,0.0
Zimbabwe People's Army (ZIPA),0.0
Provisional National Government of Vietnam,0.0
Provisional Coordinating Committee for the Defense of Labor,0.0
Zintani Militia,0.0
Autonomous Decorators,0.0
Autonomous Group for Armed Action,0.0
Protectors of Islam Brigade,0.0
Prolitarian Internationalism,0.0
Zomi Revolutionary Army (ZRA),0.0
Proletarian communist commandos,0.0
Proletarian Solidarity,0.0
Proletarian Revolutionary Action Front (FRAP),0.0
Proletarian Resistance Movement,0.0
Zouaves Paris (ZVP),0.0
Aryan Brotherhood,0.0
Arunachal Pradesh Deprived People's Front (APDPF),0.0
Revolutionary Flames,0.0
Revolutionary Action,0.0
Armed Workers Squads,0.0
Revolutionary Arab Youth Organization,0.0
World Punishment Organization,0.0
Revolutionary Anti-Racist Action,0.0
Revolutionary Anti-Capitalist Initiative,0.0
Revolutionary Anarchist Armed Terrorist Movement,0.0
Revolutionary Action of Liberation,0.0
Revolutionary Action Party,0.0
Revolutionary Action Organization of the Arab Resistance Front,0.0
Revolutionary Action Groups,0.0
Revolutionary Action Front,0.0
Armenian Group,0.0
Resistenza,0.0
Armenian Organization for Armed Struggle,0.0
Revolution Chemnitz,0.0
Revolted Persons of the Polytech School,0.0
Revenge of the Trees,0.0
AGEL,0.0
Revenge of the Martyrs (Tha'ir al-Shuhada),0.0
Revenge Movement,0.0
AFB,0.0
A'chik Matgrik Elite Force (AMEF),0.0
Armenian Red Army,0.0
Retired Soldier,0.0
Revolutionary Armed Forces for the Liberation of Colombia (FALCO),0.0
Armed Workers Nuclei,0.0
Armed Womens Nuclei,0.0
Armed Struggle for Proletarian Power,0.0
Revolutionary Fighting Group 80,0.0
Revolutionary Coordination of the Masses,0.0
Revolutionary Continuity,0.0
Revolutionary Communist Youth Brigade (RCYB),0.0
Revolutionary Communist Party,0.0
Revolutionary Communist League (LCR) (Spain),0.0
Revolutionary Communist Centre (RCC),0.0
Revolutionary Communist Armed Nuclei,0.0
Workers' Organization for Communism,0.0
Revolutionary Committee for Counter Force,0.0
Armed Struggle Cells,0.0
Revolutionary Commandos of Solidarity,0.0
Revolutionary Command,0.0
Revolutionary Combat Brigades,0.0
Abd al-Krim Commandos,0.0
Revolutionary Cells-Animal Liberation Brigade,0.0
Revolutionary Cells Network (SRN),0.0
Revolutionary Cells (Argentina),0.0
Revolutionary Bolivariano Movement 200,0.0
Revolutionary Autonomous Group,0.0
Revolutionary Army,0.0
Revolutionary Armed Organization,0.0
Apella,0.0
Resistenza Corsa,0.0
Resistencia Galega,0.0
Youth Action Group,0.0
Red Guerilla Family,0.0
Red Revolutionary Front,0.0
Red Resistance Front,0.0
Red Patriots Group,0.0
Red Line,0.0
Red June of 14 June,0.0
Yokoku Seiwa-Kai,0.0
Red June,0.0
Arnoldo Camu Command,0.0
Arsonists,0.0
Red Guerrilla,0.0
Young Brigade of Navarro,0.0
Red Guard,0.0
"Resistance, Liberation and Independence Organization (AAA)",0.0
Young Communist League,0.0
Arsonists for Social Cohesion,0.0
Red Egbesu Water Lions,0.0
Red Dragons,0.0
Red Dawn Front (Frente Amanecer Rojo),0.0
Young Liberators of Pattani,0.0
Red Cell,0.0
Young Officer Union of the New Generation and Reformist Armed Forces of the Philippines (YOU-RAFP),0.0
Artigas Guard Commando,0.0
Artigas-Giachino Command,0.0
7 April Libyan Organization,0.0
Red Scorpion,0.0
Army of the Republic of Ilirida,0.0
Red Tribune,0.0
Reform of the Armed Forces Movement,0.0
Yamaguchi-Gumi Gang,0.0
Yarmouk Martyrs Brigade,0.0
Resistance Nationale Lumumbiste (RNL),0.0
A Resistance Group,0.0
Resistance Movement of the Union of Revolt Workers,0.0
Resistance Movement,0.0
Resistance Cell,0.0
Residents and regulars of Exarchia,0.0
9 May People's Liberation Force,0.0
Yazidi extremists,0.0
Yekbun,0.0
Yellow Organization of Air Force Officers,0.0
Republican Anticlerical Group,0.0
Republican Action Against Drugs (RAAD),0.0
Yemenis,0.0
Republic of Texas,0.0
Army for Freeing Scotland,0.0
Army of State Liberators,0.0
Yich Telga,0.0
Yimchunger Liberation Front (YLF),0.0
Relatives of terrorist,0.0
Regulators,0.0
Reformed Niger Delta Avengers (RNDA),0.0
Schiedam Youth Front,0.0
Unsubordinated Desires,0.0
Scottish National Liberation Army,0.0
"Taikosha, right wing group",0.0
Anarchist Faction for Subversion,0.0
Anarchist Liberation Brigade,0.0
Tamil Nadu Liberation Army,0.0
Anarchist Night Raid Teams,0.0
Tamil Liberation Army,0.0
Anarchist Revolt Against Exiled Gendarmes,0.0
Anarchist Solidarity,0.0
Anarchist Squad,0.0
Anarchist Struggle,0.0
Tajik Rebels,0.0
Anarchists Attack Team,0.0
Taihikai (Great Sadness),0.0
Tanzeem al-Islami al-Furqan,0.0
Al-Faruq Militia,0.0
Tacayana Indians,0.0
Al-Faruo Battalion,0.0
Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP),0.0
Syrians,0.0
Ukrainian Liberation Front,0.0
Syrian Terror,0.0
Anger of Fezzan movement,0.0
Angry Brigade,0.0
Angry Brigade (Italy),0.0
Angry Foxes Cell,0.0
Anarchist Commando Nestor Makhno Group,0.0
Tanzim,0.0
Aniban ng Ayaw sa Komunista (ANAK) ,0.0
Anarchio Scene,0.0
Temple Mount Faithful Movement,0.0
Telangana Separatists,0.0
Tela Mohammed,0.0
Americans for Justice,0.0
Tehrik-e-Tuhafaz (Pakistan),0.0
Al-Herak Al-Tihami Movement,0.0
Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade),0.0
U/l men,0.0
Amr Bil Maroof Wa Nahi Anil Munkir,0.0
Al-Haydariyah Battalion,0.0
Tehrik-e-Hurriyat (TeH),0.0
Anarchist Action (CA / United States),0.0
Tariq Bin Ziyad militia,0.0
Tehreek-e-Labbaik Pakistan (TLP),0.0
Anarchist Anti-Capitalist Action Group,0.0
Anarchist Attack Consortium,0.0
Al-Hamas Mujahideen,0.0
Anarchist Cell Acca (C.A.A.),0.0
Al-Hadid,0.0
Al-Furqan (Tunisia),0.0
Tawheed Militia,0.0
Anarchist Collective of Kallithea-Moschato,0.0
Al-Fatihin Army (AFA),0.0
Al-Fateh Al-Jadid,0.0
Syrian Battle Front,0.0
Syndicalist Action Groups,0.0
Ansar al-Imam Musa al-Sadr,0.0
Supporters of Johnny Paul Koroma,0.0
Supporters of Saddam Hussein,0.0
Supporters of Right and Freedom,0.0
Supporters of President J-B Aristide,0.0
Anonymous Underground Movement (MCA),0.0
Supporters of Nicolas Maduro,0.0
Unified Workers Command,0.0
Union Du People Corse,0.0
Supporters of Muse Sudi Yalahow,0.0
Al Zawahiri Loyalists,0.0
Supporters of Laurent Nkunda,0.0
Union Parishad,0.0
Supporters of Johnny Adair,0.0
Anonima Sequestri,0.0
Supporters of General Lino Oviedo,0.0
Ansar Sarallah,0.0
Supporters of Ernest Wamba dia Wamba,0.0
Supporters of Colonel Mahmud Khudoyberdiyev,0.0
Supporters of Charles Manson,0.0
Supporters of Ali Mahdi Mohammed,0.0
Supporters of Ali Abdullah Saleh,0.0
Union members,0.0
Ansar al-Din,0.0
Supporter of Bhutto,0.0
Support of Ocalan-The Hawks of Thrace,0.0
Supporters of Second Prime Minister Hun Sen,0.0
Unified Kurdish Socialist Party,0.0
Sympathizers of Al-Qaida Organization,0.0
Suriname Liberation Front,0.0
Al-Bakazim,0.0
"Sympathizers of ""Iranian People's Zeda'i""",0.0
Animal Defense League,0.0
Ultra Conservative Clerical Group,0.0
Swaziland Youth Congress (Swayoco),0.0
"Ultra Nationalist Group, name not given",0.0
Swatantra Nepal Dal,0.0
Survivors of Hama,0.0
Umar al-Mukhtar Martyr Forces,0.0
Survivors of Golfech,0.0
Umbane People's Liberation Army (Swaziland),0.0
Ummah Liberation Army,0.0
Animal Rights Militia,0.0
Unarmed Algerian,0.0
Suqour al-Ahvaz,0.0
Unemployed Persons,0.0
Animal Liberation Front (ALF),0.0
Unidad Militar Bolivariana,0.0
Supreme Command for Jihad and Liberation,0.0
Al-Aqsa-Group,0.0
Supporters of the Islamic State in the Land of the Two Holy Mosques,0.0
Supporters of the Islamic State in Jerusalem,0.0
Supporters of ret. Gen. Lino Oviedo,0.0
Supporters of presidential candidate Belisario Bet,0.0
American Servicemen's Union (ASU),0.0
Al-Jihad (Pakistan),0.0
U/I Militia Group led by Raul Martinez,0.0
The Third Way (Der III. Weg),0.0
Ticuna Indian,0.0
Tucayana Amerindians,0.0
Thunder of Zion,0.0
Three Stars Autonomous Commando,0.0
Thomas Muenzer Wild Band,0.0
The World United Formosans for Independence (WUFI),0.0
The War That Was Never Declared,0.0
The United Southern Front,0.0
Al-Sadr Brigades,0.0
Al-Saadawi Militia,0.0
All Ethiopian Unity Party (AEUP),0.0
The Scorpion,0.0
All Assam Revolutionary Army (AARA),0.0
Tupamaro Revolutionary Movement,0.0
All Kamatapur Liberation Force,0.0
All Karanataka Youth Council,0.0
The Organization for the Return of Legality,0.0
The Ordinary Men,0.0
The Order II (Bruder Schweigen Strike Force II),0.0
All Nepal Free Nationalist Students Union,0.0
The Nocturnals,0.0
All Nepal National Free Student Union-Revolutionary,0.0
The Nation's Army,0.0
All for the Fatherland Movement,0.0
Al-Toaiman Tribesmen,0.0
Timorese Students,0.0
Al-Jub Tribe,0.0
Tribal Battlefront,0.0
"Tribesmen, al-Itada",0.0
